Id,Label,InDegree,OutDegree
compiled_knowledge,compiled_knowledge,0,12
物联网,物联网,18,0
2026-04-12,2026-04-12,17,0
EdgeX Foundry,EdgeX Foundry,3,8
edge_computing,edge_computing,7,1
industrial_iot,industrial_iot,9,1
KubeEdge,KubeEdge,5,9
Kubernetes,Kubernetes,4,7
OpenYurt,OpenYurt,4,6
供应链可视化,供应链可视化,2,4
协议转换网关,协议转换网关,4,6
容器技术,容器技术,6,9
工业物联网,工业物联网,16,11
工业物联网实施挑战,工业物联网实施挑战,4,7
工业物联网应用,工业物联网应用,1,3
数字孪生,数字孪生,3,6
数据孤岛问题,数据孤岛问题,1,5
物联网基础,物联网基础,1,2
生产过程优化,生产过程优化,3,6
精确时间协议,精确时间协议,2,5
边缘计算,边缘计算,16,11
边缘计算技术,边缘计算技术,1,2
边缘计算挑战,边缘计算挑战,2,7
预测性维护,预测性维护,5,6
