Source,Target,Type
compiled_knowledge,物联网,Undirected
compiled_knowledge,DDoS攻击,Undirected
compiled_knowledge,Mirai僵尸网络,Undirected
compiled_knowledge,NIST_IR_8228,Undirected
compiled_knowledge,OWASP_IoT_Top_10,Undirected
compiled_knowledge,TLS_DTLS,Undirected
compiled_knowledge,僵尸网络,Undirected
compiled_knowledge,固件篡改,Undirected
compiled_knowledge,安全启动,Undirected
compiled_knowledge,工业物联网,Undirected
compiled_knowledge,数据窃听,Undirected
compiled_knowledge,智能家居,Undirected
compiled_knowledge,物联网,Undirected
compiled_knowledge,物联网安全,Undirected
compiled_knowledge,硬件安全模块,Undirected
compiled_knowledge,设备劫持,Undirected
5G技术,物联网,Undirected
5G技术,2026-04-12,Undirected
5G技术,工业物联网,Undirected
5G技术,物联网,Undirected
5G技术,物联网基础,Undirected
5G技术,边缘计算,Undirected
5G技术,通信技术,Undirected
DDoS攻击,物联网,Undirected
DDoS攻击,Mirai僵尸网络,Undirected
DDoS攻击,僵尸网络,Undirected
DDoS攻击,物联网,Undirected
DDoS攻击,物联网安全,Undirected
EdgeX Foundry,物联网,Undirected
EdgeX Foundry,2026-04-12,Undirected
EdgeX Foundry,edge_computing,Undirected
EdgeX Foundry,协议转换网关,Undirected
EdgeX Foundry,容器技术,Undirected
EdgeX Foundry,工业物联网,Undirected
EdgeX Foundry,物联网,Undirected
EdgeX Foundry,边缘计算,Undirected
EdgeX Foundry,预测性维护,Undirected
KubeEdge,物联网,Undirected
KubeEdge,2026-04-12,Undirected
KubeEdge,edge_computing,Undirected
KubeEdge,Kubernetes,Undirected
KubeEdge,OpenYurt,Undirected
KubeEdge,容器技术,Undirected
KubeEdge,工业物联网,Undirected
KubeEdge,物联网,Undirected
KubeEdge,边缘计算,Undirected
KubeEdge,边缘计算挑战,Undirected
Kubernetes,物联网,Undirected
Kubernetes,edge_computing,Undirected
Kubernetes,KubeEdge,Undirected
Kubernetes,OpenYurt,Undirected
Kubernetes,容器技术,Undirected
Kubernetes,工业物联网,Undirected
Kubernetes,物联网,Undirected
Kubernetes,边缘计算,Undirected
Mirai僵尸网络,物联网,Undirected
Mirai僵尸网络,DDoS攻击,Undirected
Mirai僵尸网络,僵尸网络,Undirected
Mirai僵尸网络,物联网,Undirected
Mirai僵尸网络,物联网安全,Undirected
NIST_IR_8228,物联网,Undirected
NIST_IR_8228,工业物联网,Undirected
NIST_IR_8228,物联网,Undirected
NIST_IR_8228,物联网安全,Undirected
OpenYurt,2026-04-12,Undirected
OpenYurt,edge_computing,Undirected
OpenYurt,KubeEdge,Undirected
OpenYurt,Kubernetes,Undirected
OpenYurt,容器技术,Undirected
OpenYurt,边缘计算,Undirected
OWASP_IoT_Top_10,物联网,Undirected
OWASP_IoT_Top_10,物联网,Undirected
OWASP_IoT_Top_10,物联网安全,Undirected
RFID技术,物联网,Undirected
RFID技术,2026-04-12,Undirected
RFID技术,传感器技术,Undirected
RFID技术,物联网,Undirected
RFID技术,物联网基础,Undirected
RFID技术,通信技术,Undirected
TLS_DTLS,物联网,Undirected
TLS_DTLS,数据窃听,Undirected
TLS_DTLS,物联网,Undirected
TLS_DTLS,物联网安全,Undirected
云计算,物联网,Undirected
云计算,2026-04-12,Undirected
云计算,大数据分析,Undirected
云计算,物联网,Undirected
云计算,物联网基础,Undirected
云计算,边缘计算,Undirected
人工智能,物联网,Undirected
人工智能,2026-04-12,Undirected
人工智能,大数据分析,Undirected
人工智能,智能医疗,Undirected
人工智能,智能家居,Undirected
人工智能,物联网,Undirected
人工智能,物联网基础,Undirected
人工智能,边缘计算,Undirected
传感器技术,物联网,Undirected
传感器技术,2026-04-12,Undirected
传感器技术,RFID技术,Undirected
传感器技术,物联网,Undirected
传感器技术,物联网基础,Undirected
传感器技术,通信技术,Undirected
供应链可视化,物联网,Undirected
供应链可视化,industrial_iot,Undirected
供应链可视化,工业物联网,Undirected
供应链可视化,物联网,Undirected
供应链可视化,边缘计算,Undirected
僵尸网络,物联网,Undirected
僵尸网络,DDoS攻击,Undirected
僵尸网络,Mirai僵尸网络,Undirected
僵尸网络,智能家居,Undirected
僵尸网络,物联网,Undirected
僵尸网络,物联网安全,Undirected
协议转换网关,物联网,Undirected
协议转换网关,2026-04-12,Undirected
协议转换网关,industrial_iot,Undirected
协议转换网关,工业物联网,Undirected
协议转换网关,工业物联网实施挑战,Undirected
协议转换网关,物联网,Undirected
协议转换网关,边缘计算,Undirected
固件篡改,物联网,Undirected
固件篡改,僵尸网络,Undirected
固件篡改,安全启动,Undirected
固件篡改,物联网,Undirected
固件篡改,物联网安全,Undirected
固件篡改,设备劫持,Undirected
大数据分析,物联网,Undirected
大数据分析,2026-04-12,Undirected
大数据分析,云计算,Undirected
大数据分析,人工智能,Undirected
大数据分析,物联网,Undirected
大数据分析,物联网基础,Undirected
大数据分析,预测性维护,Undirected
安全启动,物联网,Undirected
安全启动,固件篡改,Undirected
安全启动,物联网,Undirected
安全启动,物联网安全,Undirected
安全启动,硬件安全模块,Undirected
容器技术,物联网,Undirected
容器技术,2026-04-12,Undirected
容器技术,EdgeX Foundry,Undirected
