Id,Label,InDegree,OutDegree
compiled_knowledge,compiled_knowledge,0,16
物联网,物联网,82,16
2026-04-12,2026-04-12,23,0
5G技术,5G技术,5,7
DDoS攻击,DDoS攻击,4,5
EdgeX Foundry,EdgeX Foundry,1,9
edge_computing,edge_computing,6,0
industrial_iot,industrial_iot,8,0
KubeEdge,KubeEdge,3,10
Kubernetes,Kubernetes,3,8
Mirai僵尸网络,Mirai僵尸网络,4,5
NIST_IR_8228,NIST_IR_8228,1,4
OpenYurt,OpenYurt,3,6
OWASP_IoT_Top_10,OWASP_IoT_Top_10,1,3
RFID技术,RFID技术,3,6
TLS_DTLS,TLS_DTLS,1,4
云计算,云计算,4,6
人工智能,人工智能,7,8
传感器技术,传感器技术,6,6
供应链可视化,供应链可视化,0,5
僵尸网络,僵尸网络,5,6
协议转换网关,协议转换网关,3,7
固件篡改,固件篡改,3,6
大数据分析,大数据分析,7,7
安全启动,安全启动,4,5
容器技术,容器技术,5,10
工业物联网,工业物联网,18,9
工业物联网实施挑战,工业物联网实施挑战,3,8
工业物联网应用,工业物联网应用,0,3
数字孪生,数字孪生,2,7
数据孤岛问题,数据孤岛问题,1,6
数据窃听,数据窃听,2,3
智能交通,智能交通,1,11
智能医疗,智能医疗,2,7
智能家居,智能家居,4,8
物联网基础,物联网基础,14,2
物联网安全,物联网安全,13,7
环境监测,环境监测,1,7
生产过程优化,生产过程优化,1,8
硬件安全模块,硬件安全模块,3,4
精确时间协议,精确时间协议,1,6
设备劫持,设备劫持,2,4
边缘计算,边缘计算,21,6
边缘计算技术,边缘计算技术,0,1
边缘计算挑战,边缘计算挑战,1,8
通信技术,通信技术,7,6
预测性维护,预测性维护,4,7
